age,marital,education,balance,housing,loan,duration,y
44,single,secondary,29,yes,no,151,no
33,married,secondary,2,yes,yes,76,no
47,married,unknown,1506,yes,no,92,no
33,single,unknown,1,no,no,198,no
35,married,tertiary,231,yes,no,139,no
28,single,tertiary,447,yes,yes,217,no
,divorced,tertiary,,yes,no,380,no
58,married,primary,,yes,no,50,no
43,single,secondary,,yes,no,55,no
41,divorced,secondary,270,yes,no,222,no
29,single,secondary,390,yes,no,137,no
53,married,secondary,6,yes,no,517,no
58,married,unknown,71,yes,no,71,no
57,married,secondary,162,yes,no,174,no
51,married,primary,229,yes,no,353,no
45,single,unknown,13,yes,no,98,no
57,married,primary,52,yes,no,38,no
60,married,primary,60,yes,no,219,no
33,married,secondary,0,yes,no,54,no
28,married,secondary,723,yes,yes,262,no
56,married,tertiary,779,yes,no,164,no
32,single,primary,23,yes,yes,160,no
25,married,secondary,50,yes,no,342,no
40,married,primary,0,yes,yes,181,no
44,married,secondary,-372,yes,no,172,no
39,single,tertiary,255,yes,no,296,no
52,married,secondary,113,yes,yes,127,no
46,single,secondary,-246,yes,no,255,no
36,single,secondary,265,yes,yes,348,no
57,married,secondary,839,no,yes,225,no
49,married,tertiary,378,yes,no,230,no
60,married,secondary,39,yes,yes,208,no
59,married,secondary,0,yes,no,226,no
51,married,tertiary,10635,yes,no,336,no
57,divorced,secondary,63,yes,no,242,no
25,married,secondary,-7,yes,no,365,no
53,married,secondary,-3,no,no,1666,no
36,divorced,secondary,506,yes,no,577,no
37,single,secondary,0,yes,no,137,no
44,divorced,secondary,2586,yes,no,160,no
50,married,secondary,49,yes,no,180,no
60,married,unknown,104,yes,no,22,no
54,married,secondary,529,yes,no,1492,no
58,married,unknown,96,yes,no,616,no
36,single,primary,-171,yes,no,242,no
58,married,tertiary,-364,yes,no,355,no
44,married,secondary,0,yes,no,225,no
55,divorced,secondary,0,no,no,160,no
29,single,tertiary,0,yes,no,363,no
54,married,secondary,1291,yes,no,266,no
48,divorced,tertiary,-244,yes,no,253,no
32,married,tertiary,0,yes,no,179,no
,single,secondary,-76,yes,no,787,no
,single,secondary,-103,yes,yes,145,no
,single,tertiary,243,no,yes,174,no
,single,tertiary,424,yes,no,104,no
,married,unknown,306,yes,no,13,no
,single,unknown,24,yes,no,185,no
,married,primary,179,yes,no,1778,no
,married,tertiary,0,yes,no,138,no
53,divorced,secondary,989,yes,no,812,no
57,married,primary,249,yes,no,164,no
33,married,secondary,790,yes,no,391,no
49,married,unknown,154,yes,no,357,no
51,married,tertiary,6530,yes,no,91,no
60,married,tertiary,100,no,no,528,no
59,divorced,tertiary,59,yes,no,273,no
55,married,secondary,1205,yes,no,158,no
35,single,secondary,12223,yes,yes,177,no
57,married,secondary,5935,yes,yes,258,no
31,married,secondary,25,yes,yes,172,no
54,married,secondary,282,yes,yes,154,no
55,married,primary,23,yes,no,291,no
43,married,secondary,1937,yes,no,181,no
53,married,secondary,384,yes,no,176,no
44,married,secondary,582,no,yes,211,no
55,divorced,secondary,91,no,no,349,no
49,divorced,secondary,0,yes,yes,272,no
55,divorced,secondary,1,yes,no,208,no
45,single,secondary,206,yes,no,193,no
47,divorced,secondary,164,no,no,212,no
42,single,secondary,690,yes,no,20,no
59,married,secondary,2343,yes,no,1042,yes
46,married,tertiary,137,yes,yes,246,no
51,married,primary,173,yes,no,529,no
56,married,secondary,45,no,no,1467,yes
41,married,secondary,1270,yes,no,1389,yes
46,divorced,secondary,16,yes,yes,188,no
57,married,secondary,486,yes,no,180,no
42,single,secondary,50,no,no,48,no
30,married,secondary,152,yes,yes,213,no
60,married,secondary,290,yes,no,583,no
60,married,unknown,54,yes,no,221,no
57,divorced,secondary,-37,no,no,173,no
36,married,tertiary,101,yes,yes,426,no
55,married,secondary,383,no,no,287,no
60,married,tertiary,81,yes,no,101,no
39,married,secondary,0,yes,no,203,no
46,married,tertiary,229,yes,no,197,no
44,married,secondary,-674,yes,no,257,no
53,married,primary,90,no,no,124,no
52,married,primary,128,yes,no,229,no
59,married,primary,179,yes,no,55,no
27,single,tertiary,0,yes,no,400,no
44,married,secondary,54,yes,no,197,no
47,married,tertiary,151,yes,no,190,no
34,married,secondary,61,no,yes,21,no
59,single,secondary,30,yes,no,514,no
45,married,tertiary,523,yes,no,849,no
29,divorced,secondary,31,yes,no,194,no
46,divorced,secondary,79,no,no,144,no
56,married,primary,-34,yes,yes,212,no
36,married,primary,448,yes,no,286,no
59,divorced,primary,81,yes,no,107,no
44,married,secondary,144,yes,no,247,no
41,married,secondary,351,yes,no,518,no
33,single,tertiary,-67,yes,no,364,no
59,divorced,tertiary,262,no,no,178,no
57,married,primary,0,no,no,98,no
56,divorced,unknown,56,yes,no,439,no
51,married,secondary,26,yes,no,79,no
34,married,unknown,3,yes,no,120,no
43,married,secondary,41,yes,yes,127,no
52,married,tertiary,7,no,yes,175,no
33,single,secondary,105,yes,no,262,no
29,single,secondary,818,yes,yes,61,no
34,married,secondary,-16,yes,yes,78,no
31,married,secondary,0,yes,no,143,no
55,married,secondary,2476,yes,no,579,yes
55,married,unknown,1185,no,no,677,no
32,single,secondary,217,yes,no,345,no
38,single,secondary,1685,yes,no,185,no
55,single,secondary,802,yes,yes,100,no
28,single,tertiary,0,yes,no,125,no
23,married,secondary,94,yes,no,193,no
32,single,secondary,0,yes,no,136,no
43,single,unknown,0,no,no,73,no
32,married,secondary,517,yes,no,528,no
46,married,secondary,265,yes,no,541,no
53,divorced,primary,947,yes,no,163,no
34,single,secondary,3,yes,no,301,no
57,married,tertiary,42,no,no,46,no
37,married,secondary,37,yes,no,204,no
59,married,secondary,57,yes,no,98,no
33,married,secondary,22,yes,no,71,no
56,divorced,primary,8,yes,no,157,no
48,married,secondary,293,yes,no,243,no
43,married,primary,3,yes,no,186,no
54,married,primary,348,yes,no,579,no
51,married,unknown,-19,yes,no,163,no
26,single,secondary,0,yes,no,610,no
40,married,tertiary,-4,yes,no,2033,no
39,married,secondary,18,yes,no,85,no
50,married,primary,139,no,no,114,no
41,married,secondary,0,yes,no,114,no
51,married,unknown,1883,yes,no,57,no
60,divorced,secondary,216,yes,no,238,no
52,married,secondary,782,yes,no,93,no
48,married,secondary,904,yes,no,128,no
48,married,unknown,1705,yes,no,107,no
39,single,tertiary,47,yes,no,181,no
47,single,secondary,176,yes,no,303,no
40,married,secondary,1225,yes,no,558,no
45,married,secondary,86,yes,no,270,no
26,single,secondary,82,yes,no,228,no
52,married,tertiary,271,yes,no,99,no
54,married,secondary,1378,yes,no,240,no
54,married,tertiary,184,no,no,673,yes
50,married,primary,0,no,no,233,no
35,married,secondary,0,yes,no,1056,no
44,married,secondary,1357,yes,yes,250,no
53,married,unknown,19,yes,no,252,no
